True Label,Predicted Label,Match
9,9,1
9,9,1
0,0,1
39,35,0
38,0,0
0,0,1
0,0,1
21,21,1
0,0,1
21,0,0
38,0,0
0,0,1
9,9,1
9,9,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
9,9,1
9,9,1
38,9,0
0,0,1
0,0,1
9,9,1
9,9,1
0,0,1
0,0,1
7,7,1
0,0,1
1,0,0
0,0,1
0,0,1
0,37,0
37,37,1
38,0,0
0,0,1
13,26,0
0,0,1
0,0,1
9,9,1
0,0,1
0,0,1
0,0,1
9,9,1
0,0,1
9,9,1
2,2,1
38,9,0
0,0,1
0,0,1
0,0,1
9,9,1
9,9,1
26,0,0
0,0,1
9,9,1
5,0,0
4,0,0
0,0,1
21,0,0
26,0,0
0,0,1
0,0,1
37,37,1
0,0,1
38,37,0
9,9,1
9,9,1
0,0,1
9,9,1
0,0,1
0,0,1
0,0,1
9,9,1
0,0,1
0,0,1
4,0,0
0,0,1
0,0,1
9,9,1
9,9,1
10,10,1
0,0,1
0,0,1
0,0,1
9,9,1
38,0,0
0,0,1
0,0,1
0,0,1
0,0,1
9,9,1
19,0,0
21,0,0
0,0,1
0,0,1
0,0,1
34,34,1
9,9,1
37,37,1
21,0,0
9,9,1
9,9,1
0,0,1
9,9,1
12,26,0
0,0,1
9,9,1
0,0,1
0,0,1
9,9,1
4,0,0
4,0,0
0,0,1
9,9,1
0,0,1
7,7,1
9,9,1
22,0,0
0,0,1
7,0,0
34,34,1
9,9,1
0,0,1
0,0,1
21,21,1
9,9,1
0,0,1
0,0,1
0,0,1
0,0,1
4,36,0
0,0,1
4,37,0
0,0,1
9,9,1
22,0,0
38,0,0
0,0,1
0,0,1
0,0,1
9,9,1
9,9,1
1,0,0
35,35,1
38,9,0
9,9,1
0,0,1
4,37,0
21,0,0
9,9,1
10,34,0
3,0,0
0,0,1
9,9,1
4,0,0
9,9,1
9,9,1
9,9,1
9,9,1
9,9,1
37,37,1
9,9,1
26,0,0
9,9,1
9,9,1
26,0,0
0,0,1
9,9,1
4,0,0
0,0,1
9,9,1
9,9,1
1,0,0
0,0,1
37,37,1
39,37,0
21,0,0
0,0,1
7,0,0
0,0,1
0,0,1
0,0,1
0,0,1
21,0,0
9,9,1
9,9,1
0,0,1
9,9,1
0,0,1
4,0,0
9,9,1
0,0,1
0,0,1
0,0,1
0,0,1
21,0,0
9,9,1
5,0,0
38,0,0
0,0,1
1,9,0
0,0,1
0,0,1
37,37,1
9,9,1
4,36,0
0,0,1
0,0,1
1,0,0
26,0,0
0,0,1
0,0,1
0,0,1
7,7,1
0,0,1
0,0,1
0,0,1
22,0,0
0,0,1
0,0,1
0,0,1
9,9,1
0,0,1
2,2,1
0,0,1
9,9,1
0,0,1
0,0,1
0,0,1
38,0,0
